ParallelSentiScore,ParallelSentiment,ParallelTone,ParallelToneScore,content
"('neutral', 0.449)",neutral,Excited,"('Excited', 0.293386939912774)",My piece on the for be the winner in Round perform opposite his poll rank
"('negative', 0.639)",negative,Angry,"('Angry', 0.3306025220381608)",lie when he say he have never advocate for to abortion ban
"('positive', 0.578)",positive,Angry,"('Angry', 0.17840199844986884)",I would like definitely do stuff different like whatever be happen I make it be not
"('negative', 0.694)",negative,Angry,"('Angry', 0.4492670930202992)",I frankly dont have time for total political correctness Watch some of
"('negative', 0.902)",negative,Bored,"('Bored', 0.37343650451869415)",and be complain about at the last night
"('negative', 0.835)",negative,Angry,"('Angry', 0.4878285833261313)",Not Of Those Who Like Bush
"('positive', 0.938)",positive,Happy,"('Happy', 0.300078384420023)",like be the big of the and I agree
"('neutral', 0.417)",neutral,Angry,"('Angry', 0.22879771191069173)",We need to even out the tax code for small so that we lower their tax rate to
"('negative', 0.789)",negative,Bored,"('Bored', 0.2650063137258435)",Again Trump with no substantiate answer Just people do because I give them money and stuff
"('neutral', 0.438)",neutral,Fear,"('Fear', 0.3809439640251182)",Who watch the last night I hear it be the thing since and the
"('negative', 0.906)",negative,Angry,"('Angry', 0.36173958348105756)",My dog bark every time there be a doorbell sound on So last night there be a LOT of bark
"('negative', 0.714)",negative,Sad,"('Sad', 0.26940980497323813)",The Left always tell us of whom they be most afraid
"('neutral', 0.962)",neutral,Happy,"('Happy', 0.3621625110893308)",HAVE MY MONEY
"('negative', 0.794)",negative,Angry,"('Angry', 0.5052815605140271)",You need to shut up sit down and close your Twitter account The more you speak the worse it get
"('neutral', 0.908)",neutral,Excited,"('Excited', 0.3195006311669414)",warren Pack your swimsuit Billy be take you to the White House
"('neutral', 0.485)",neutral,Excited,"('Excited', 0.24345798663853715)",make out and Joe
"('neutral', 0.528)",neutral,Angry,"('Angry', 0.2860794691839414)",for call unprofessional which be he pot or the kettle
"('positive', 0.477)",positive,Fear,"('Fear', 0.4683999182856994)",Well that be embarrass
"('negative', 0.799)",negative,Sad,"('Sad', 0.2463860488327613)",Does it seem that even the that be praise for stick to the question still kind of run around it
"('negative', 0.47)",negative,Bored,"('Bored', 0.4273395468409015)",if you think the outcome of the be set long before last night
"('negative', 0.584)",negative,Bored,"('Bored', 0.23875864594496524)",Trump respond to of misogyny by call her a
"('positive', 0.985)",positive,Happy,"('Happy', 0.3031995282518613)",TRUE
"('neutral', 0.613)",neutral,Fear,"('Fear', 0.2832715751521672)",Id say
"('positive', 0.536)",positive,Fear,"('Fear', 0.26725763591067164)",My comprehensive National Security from
"('positive', 0.595)",positive,Fear,"('Fear', 0.27815824486494245)",According to the Bill of be just hot air
"('positive', 0.419)",positive,Fear,"('Fear', 0.2973438037472813)",Trying to figure out logic like
"('positive', 0.682)",positive,Excited,"('Excited', 0.48955320527671153)",be like the trial from The Unbreakable and
"('neutral', 0.888)",neutral,Angry,"('Angry', 0.369980503494327)",be talk about about Ill vote for whoever mention a Four Door
"('neutral', 0.834)",neutral,Happy,"('Happy', 0.3991098452790135)",BRING OUT THE DANCING
"('neutral', 0.622)",neutral,Bored,"('Bored', 0.34109369074905715)",If cant take a few hard question he should get out Soft question only go to
"('positive', 0.429)",positive,Excited,"('Excited', 0.28635924455776207)",be right in last night With feckless incompetent China know s better than we do
"('positive', 0.648)",positive,Angry,"('Angry', 0.24800803316458245)",So glad they cover last night at Oh wait they didnt What a surprise
"('positive', 0.413)",positive,Fear,"('Fear', 0.3249598253474724)",Theyre like a cargo cult
"('positive', 0.688)",positive,Happy,"('Happy', 0.33442135974745857)",Id agree with this | Who and Unaffected | The Weekly Standard
"('neutral', 0.477)",neutral,Fear,"('Fear', 0.33230686662527065)",When do you actually become a Republican
"('neutral', 0.447)",neutral,Happy,"('Happy', 0.3031548140726416)",Forget the we need a show call Toupee between and
"('negative', 0.534)",negative,Fear,"('Fear', 0.45019656435544936)",I just saw the early overnight rat for the Stand by
"('positive', 0.675)",positive,Excited,"('Excited', 0.48204587332722626)",Rebel That be a great Comedy Show last night
"('positive', 0.45)",positive,Fear,"('Fear', 0.35457242540374095)",be look a lot like this
"('negative', 0.571)",negative,Angry,"('Angry', 0.39137630014605124)",If do not exist the and would not be in existence
"('neutral', 0.58)",neutral,Excited,"('Excited', 0.31055572995375685)",your evidence Trump Hey look at this shiny thing
"('negative', 0.592)",negative,Bored,"('Bored', 0.37161055953482636)",Wouldnt have expect to be such a baby about the last night cry more about it you pussy
"('negative', 0.88)",negative,Angry,"('Angry', 0.6125933291866078)",Should have act like last night and coddle them HELL NO get the dirty laundry
"('positive', 0.675)",positive,Sad,"('Sad', 0.24295888916339325)",Great debate but not one word about the environment Very disappoint
"('negative', 0.57)",negative,Angry,"('Angry', 0.2638372282329856)",on climate change and vote right didnt make a show at the
"('neutral', 0.967)",neutral,Fear,"('Fear', 0.3238100129153854)",Are you my friend Want to stay Watch the on
"('positive', 0.618)",positive,Bored,"('Bored', 0.38774038265631444)",Rand be give the least amount of talk time yet he say the most I him smash
"('neutral', 0.515)",neutral,Angry,"('Angry', 0.43064083021471233)",Rand I dont want my gun or marriage register in Agree but You know be register in state r
"('positive', 0.601)",positive,Excited,"('Excited', 0.297985497292382)",Rand the only one lead in FIVE state win by
"('negative', 0.751)",negative,Bored,"('Bored', 0.49687732299400766)",play the Whats worse game Whats worse call fat sleep if u pick
"('neutral', 0.682)",neutral,Happy,"('Happy', 0.503141327921074)",This be How You
"('positive', 0.491)",positive,Excited,"('Excited', 0.35130452825435254)",The Clear Winner in First with image tweet Storify
"('negative', 0.737)",negative,Bored,"('Bored', 0.4792868139285355)",EVERYONE Everyone shut up Trump be about to say something
"('negative', 0.562)",negative,Fear,"('Fear', 0.35632218396945975)",I havent see this many opinionated white men in the same room since well I guess since this morning Its very common
"('neutral', 0.534)",neutral,Bored,"('Bored', 0.4532452350077889)",be lose in this debate
"('neutral', 0.511)",neutral,Angry,"('Angry', 0.2709058220608492)",we need to build a wall trump take key policy from mind boggle
"('positive', 0.956)",positive,Fear,"('Fear', 0.282745796218214)",gay marriage response Wow
"('neutral', 0.611)",neutral,Bored,"('Bored', 0.2613492381053949)",call out on lack of higher talk among other issue
"('negative', 0.522)",negative,Fear,"('Fear', 0.24761280908308306)",Trump want to build The Great Wall of China in Fully equip with a door
"('negative', 0.577)",negative,Sad,"('Sad', 0.24974979794817542)",Less than after take the stage in and analysis be pour in have more at noon on
"('positive', 0.887)",positive,Excited,"('Excited', 0.45324129274902725)",Amen You dont have to compromise to be compassionate
"('positive', 0.685)",positive,Fear,"('Fear', 0.3236166614643259)",Pretty much the only thing I could focus on during the primary debate
"('neutral', 0.624)",neutral,Bored,"('Bored', 0.24514910959723568)",Country before party Why pledge away the option to do what may need to be do
"('negative', 0.378)",negative,Bored,"('Bored', 0.29480067920359926)",on the more like
"('neutral', 0.715)",neutral,Angry,"('Angry', 0.31511149666186283)",should have ask As a genuine will you give a shoot at Justice by give Him a retrial
"('neutral', 0.419)",neutral,Fear,"('Fear', 0.2386943335316433)",Last nights be the most watch in history w a share which mean million people tune in
"('negative', 0.756)",negative,Angry,"('Angry', 0.4476489693871616)",could there have be any more hate direct towards on that stage if they try wow
"('neutral', 0.428)",neutral,Fear,"('Fear', 0.26375294524648224)",Group Trump Ahead Of
"('negative', 0.46)",negative,Fear,"('Fear', 0.3495190941545088)",not go to know who win until you see who attack as unqualified and frighten
"('negative', 0.605)",negative,Excited,"('Excited', 0.2247670257676647)",Trump Border ethnographer But I go there and thats what people tell me
"('positive', 0.997)",positive,Excited,"('Excited', 0.3973076734513306)",really impress in last nights
"('negative', 0.859)",negative,Fear,"('Fear', 0.4243437044304449)",Police attack Actual Police attack
"('negative', 0.73)",negative,Angry,"('Angry', 0.42361679345225545)",Being call a useful idiot by Ben be like be call a pervert by
"('neutral', 0.594)",neutral,Excited,"('Excited', 0.2882562159940826)",Ben believe in vaccine mandate Next
"('negative', 0.569)",negative,Angry,"('Angry', 0.3947059839529749)",FOX FIX IN why no winner viewer poll You have them in Afraid will pick
"('positive', 0.787)",positive,Excited,"('Excited', 0.4577071278679233)",Make yourself believe you be more than enough
"('positive', 0.963)",positive,Excited,"('Excited', 0.6844165044595413)",in cool graphics
"('positive', 0.48)",positive,Fear,"('Fear', 0.2521996380851262)",Rand before infamous hair
"('positive', 0.743)",positive,Sad,"('Sad', 0.2553815261130943)",I like contention that he literally didnt have enough time not to make fun of weight
"('negative', 0.719)",negative,Angry,"('Angry', 0.5456229275550608)",much analysis be all style and performance nothing about no rape exception cut cut cut
"('neutral', 0.513)",neutral,Bored,"('Bored', 0.2862436655085742)",be right when he say the be ignorant of the culture
"('neutral', 0.444)",neutral,Fear,"('Fear', 0.34944862837337204)",the Huckster be crush it tonight suit coat look way too big or he always that wide
"('negative', 0.707)",negative,Bored,"('Bored', 0.47445326194936205)",you be a joke
"('negative', 0.446)",negative,Fear,"('Fear', 0.4048772455613312)",Your favorite Caught My Eye be post three ago at
"('negative', 0.865)",negative,Angry,"('Angry', 0.6652663337757113)",I refuse to live in a country that elect as President Are we live in Idiocrasy
"('positive', 0.912)",positive,Excited,"('Excited', 0.41275100598258535)",Rap Genius go Cool collaboration by the to annotate
"('positive', 0.969)",positive,Excited,"('Excited', 0.5215431765364855)",The real winner of the
"('neutral', 0.728)",neutral,Excited,"('Excited', 0.4075178252996014)",At I win over our audience yet Can you chip in to help us keep it up
"('negative', 0.452)",negative,Angry,"('Angry', 0.3766807489625827)",performance be every bite as bias and obnoxious as that of Candy
"('positive', 0.732)",positive,Happy,"('Happy', 0.2872022964941645)",I agree it be annoy be TERRIBLE Quite unfair but focus on MY candidate good
"('neutral', 0.602)",neutral,Fear,"('Fear', 0.2575439970232972)",If you watch the last night why not send to this morning
"('neutral', 0.601)",neutral,Fear,"('Fear', 0.24253351883649332)",How many executive order be how many bomb drop on while the populace be glue them picture
"('negative', 0.626)",negative,Fear,"('Fear', 0.3638905185886511)",Strange creepy letter F on screen as they speak Subliminal grade system courtesy of
"('negative', 0.537)",negative,Sad,"('Sad', 0.25343268020340914)",God have bless with plenty of great but didnt give the a single one
"('positive', 0.833)",positive,Excited,"('Excited', 0.33667080228455815)",sure my endorsement of s piece will lead to more of me be a
"('neutral', 0.563)",neutral,Sad,"('Sad', 0.297548112891593)",What happen to dignity polish and manners in the debate forum
"('positive', 0.5)",positive,Bored,"('Bored', 0.5481792376308373)",I win the because I get drink and fell asleep before it start
"('neutral', 0.822)",neutral,Excited,"('Excited', 0.30012567277511926)",and pule ahead in the poll go figure
"('neutral', 0.44)",neutral,Sad,"('Sad', 0.24551919071809133)",Walker look like he should be ask And would you like insurance for a day
